Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,"That's right. Just once in the past, I underwent training in order to step into the world of witches.","That's right. Just once in the past, I underwent training in order to step into the world of witches. ",[=ST],そう。私はかつて一度だけ、魔女の世界に足を踏み入れるべく、修行をしたことがある。,[=JP],"Точно. Однажды в прошлом я прошла подготовку, которая должна была позволить мне войти в мир ведьм.","Isso mesmo. No passado, eu passei por um treinamento para poder adentrar o mundo das bruxas.",[=UP],對。我曾經一度踏入過魔女的世界，進行過修行。,对。我曾经一度踏入过魔女的世界，进行过修行。,[=UP],[=UP],[=UP]
,"I accepted that the only power which could save me from my sad, painful days at Saint Lucia Academy...was the thing called magic, and I received Maria onee‐chan's introduction to the basics......","I accepted that the only power that could save me from those sad, painful days at Saint Lucia Academy... was the thing called magic, and I received Maria's introduction to the basics... ",[=ST],聖ルチーア学園での辛く悲しい日々から私を救ってくれる力が、魔法だけだということを受け入れ、真里亞お姉ちゃんにその手解きを受けたのだ……。,[=JP],"Я приняла тот факт, что единственной силой, способной спасти меня от печальных, истязающих душу дней в академии Святой Люции, была вещь под названием ""магия"", а Мария ввела меня в основы......","Aceitei que o único poder que poderia me salvar dos meus tristes e dolorosos dias na Academia Santa Lucia...era esta coisa chamada magia, e a Maria onee‐chan me introduziu aos seus conceitos básicos......",[=UP],認同了，只有魔法，才能使我在聖露琪亞學園的辛酸悲慘的日子中獲得救贖，接受了真里亞姐姐的啟蒙教導……。,认同了，只有魔法，才能使我在圣露琪亚学园的辛酸悲惨的日子中获得救赎，接受了真里亚姐姐的启蒙教导……。,[=UP],[=UP],[=UP]
Ushiromiya Ange,"""...............Imagine...a vast space...... ......The scenery when I looked down at the base of the mountain, from the rest stop at the peak......""","""......Imagine...a vast space... ...The scene from when I looked down at the mountain's base from a rest stop at the peak... ",[=ST],「……………広大な空間を、イメージ……。……峠のドライブインから麓を見下ろした時の風景……。,「……………広大な空間を、イメージ……。……峠のドライブインから麓を見下ろした時の風景……」,"""............Представь... огромное пространство... ......Пейзаж, увиденный мною, когда я посмотрела вниз на подножие, остановившись отдохнуть на вершине......""","""...............Imagine...um vasto espaço...... ......O cenário quando eu olhava para baixo, para a base de uma montanha, para o resto que parou no topo......""",[=UP],「……………想像廣大的空間……。……去想從山頂餐廳俯瞰山腳時所見的風景……」,「……………想象广大的空间……。……去想从山顶餐厅俯瞰山脚时所见的风景……」,[=UP],[=UP],[=UP]
Ushiromiya Ange,""".........Like this......?""","......Like this...?"" ",[=ST],………こう……？」,「………こう……？」,""".........Вот так?.....""",""".........Assim......?""",[=UP],「………像這樣……？」,「………像这样……？」,[=UP],[=UP],[=UP]
,I projected that scene from a memory into my mental world.,I projected that scene from a memory into my mental world. ,[=ST],私はその思い出の中の風景を、心象世界に投影した。,[=JP],Я перенесла это зрелище из памяти в свой духовный мир.,Eu projetei essa cena de uma memória em meu mundo mental.,[=UP],我將記憶中的風景投影到了心象世界。,我将记忆中的风景投影到了心象世界。,[=UP],[=UP],[=UP]
,......Normal little girls get over their admiration of magical girls during elementary school.,...Normal girls get over their fascination with magical girls when they leave elementary school. ,[=ST],……魔法少女に憧れるなんて、普通の女の子なら小学校で卒業する。,[=JP],"......Нормальные девочки перестают восхищаться девочками‐ведьмами, когда оканчивают начальную школу.",......Garotas normais superam suas admirações por garotas mágicas durante o fundamental.,[=UP],……憧憬於當魔法少女，這是一般女孩子在上小學時就會扔掉的夢想。,……憧憬于当魔法少女，这是一般女孩子在上小学时就会扔掉的梦想。,[=UP],[=UP],[=UP]
,"Training in absolute earnest to use magic at this age......I have to say, I'm embarrassed of myself.",So seriously training to use magic at this age...was embarrassing even for me. ,[=ST],だから、こんな歳にもなって、大真面目に魔法の修行をしてるなんて、……我ながら恥ずかしい。,[=JP],"Таким образом, серьёзно учиться использовать магию в этом возрасте... смущало даже меня.",Treinar com absoluta sinceridade para usar magia nessa idade......eu preciso admitir que estou com vergonha de mim mesma.,[=UP],所以，到這歲數了還去一本正經地修行魔法，……連自己都感到害臊。,所以，到这岁数了还去一本正经地修行魔法，……连自己都感到害臊。,[=UP],[=UP],[=UP]
,But even that embarrassed emotion felt pleasant to me now.,But even that embarrassed feeling felt pleasant to me now. ,[=ST],でも、その恥ずかしいという感情すらも、今の私には微笑ましいものだった。,[=JP],Но в данный момент мне даже было приятно ощущать это смущение.,Mas mesmo essa emoção vergonhosa é agradável para mim agora.,[=UP],不過，對此刻的我來說，就連這份羞恥之情，都已成為值得欣慰之物。,不过，对此刻的我来说，就连这份羞耻之情，都已成为值得欣慰之物。,[=UP],[=UP],[=UP]
,"Right now, I was learning mental concentration from Maria onee‐chan in order to use magic.","Right then, I was learning mental concentration from Maria onee-chan, in order to use magic. ",[=ST],私は今、真里亞お姉ちゃんに魔法を使うための精神集中を習っている。,[=JP],"Сейчас я училась духовной концентрации от Марии онее‐чан, чтобы использовать магию.","Agora, eu estava aprendendo sobre concentração mental com a Maria onee‐chan para poder usar magia.",[=UP],我此刻正在跟真里亞姐姐學習，為了使用魔法而集中精神之法。,我此刻正在跟真里亚姐姐学习，为了使用魔法而集中精神之法。,[=UP],[=UP],[=UP]
,"But it wasn't going very well. ......It was about as hopeless as going to a person who can wiggle their ears, asking them how they do it, and expecting to learn anything at all from their demonstration...",But it wasn't going very well. ...It was about as hopeless as teaching a person to wiggle their ears by showing them... and expecting to learn anything at all from their demonstration... ,[=ST],だが、なかなかうまく出来ない。……まるで、耳を動かせる人に、こうやって動かすんだよと実演されても、どうしようもないのによく似てる…。,[=JP],"Но выходило не очень хорошо. ......Это было так же безнадёжно, как учить человека шевелить ушами, показывая, как это делается на себе...Похоже, что тебе нужно представить огромное пространство, чтобы достигнуть духовной концентрации для использования магии.","Mas não estava indo muito bem. ......Eu sou tão desesperada assim como alguém que vai até outra pessoa capaz de mexer as orelhas, e a pergunta como fazer aquilo, esperando aprender algo a partir das demonstrações dela...",[=UP],不過，進行得頗不順利。……就像即便是由耳朵會動的人當場演示了，怎麼將耳朵動起來，也還是怎麼都學不會一樣…。,不过，进行得颇不顺利。……就像即便是由耳朵会动的人当场演示了，怎么将耳朵动起来，也还是怎么都学不会一样…。,[=UP],[=UP],[=UP]
,It seems that you need to imagine a vast space to gain the mental concentration for using magic.,It seems that you need to imagine a vast space to gain the mental concentration for using magic. ,[=ST],魔法を使うための精神集中には、広大な空間のイメージが欠かせないらしい。,[=JP],"Поэтому я вспомнила время, когда была гораздо моложе, а моя семья поехала в небольшой отпуск.",Parece que você precisa imaginar um vasto espaço para adquirir concentração mental a fim de usar magia.,[=UP],在為了使用魔法而集中精神這事上，去想像廣大的空間似乎是必不可缺的一環。,在为了使用魔法而集中精神这事上，去想象广大的空间似乎是必不可缺的一环。,[=UP],[=UP],[=UP]
