Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Ushiromiya Battler,"""...What, you mean six years ago? I mean, I was still in elementary school back then, right? It's pretty unfair to expect me to remember everything, don't you think?"" ","""...Six years ago, you say? I mean, six years, that's like the whole of elementary school, isn't it? It's pretty unfair to ask me to remember, don't you think?""","""...Six years ago, you say? Anyway, back then I was still in elementary school, right? It's pretty unfair to force me to remember, don't you think?""",「…６年前のことかぁ。何しろ６年って言ったら、小学校まるまるひとつ分じゃねぇか。覚えてろってのが酷な話だぜー？」,「…６年前のことかぁ。何しろ６年って言ったら、小学校まるまるひとつ分じゃねぇか。覚えてろってのが酷な話だぜー？」,"""...Шесть лет назад, говоришь? Так или иначе, тогда я ещё учился в начальной школе, правильно? Довольно несправедливо заставлять меня вспоминать, не находишь?""","""...Seis anos atrás? Digo, seis anos atrás é todo o ensino fundamental, não? É bem injusto pedir para eu me lembrar, não acha?""","""...Six years ago, you say? I mean, six years, that's like the whole of elementary school, isn't it? It's pretty unfair to ask me to remember, don't you think?""",「…六年前的事麼。說起六年，那可是從頭到尾念完一遍小學的時間啊。叫人記得，可是有點過分哈——？」,「…六年前的事么。说起六年，那可是从头到尾念完一遍小学的时间啊。叫人记得，可是有点过分哈——？」,"""...Six years ago, you say? I mean, six years, that's like the whole of elementary school, isn't it? It's pretty unfair to ask me to remember, don't you think?""","""... Sei anni fa, dici? Quindi era quando andavo ancora alle elementari, no? {n}Mi sembra inutile sforzarmi di ricordare, non trovate?""","""...Six years ago, you say? I mean, six years, that's like the whole of elementary school, isn't it? It's pretty unfair to ask me to remember, don't you think?""","""...Altı yıl öncesi mi dedin? Sonuçta o zamanlar hâlâ ilkokuldaydım, değil mi? Benden hatırlamamı beklemek pek de adil değil, öyle değil mi?"""
Ushiromiya George,"""True. Especially because we were so young, we've grown a lot in these six years. If I hadn't been introduced, I might not even have remembered you."" ","""I agree. Especially since we were so young; we've grown a lot in these six years. Actually, if we hadn't been introduced, maybe we wouldn't have been able to remember you.""","""That's right. Especially since we were so young, we've grown a lot in these six years. I was surprised. If I hadn't been introduced, I wouldn't even have remembered you.""",「そうだね。特に、若かった僕たちにとっては大きな成長の６年間だったはずだからね。案外、自己紹介がなかったら思い出せなかったんじゃないかい。」,「そうだね。特に、若かった僕たちにとっては大きな成長の６年間だったはずだからね。案外、自己紹介がなかったら思い出せなかったんじゃないかい」,"""Это точно. Особенно, если учесть, как мы были юны, мы сильно выросли за эти шесть лет. Я был удивлён. Если бы нас не представили, я бы даже не вспомнил тебя.""","""Eu concordo. Especialmente por ainda sermos jovens, nós crescemos muito nesses seis anos. Na verdade, se não tivéssemos sido apresentados, talvez nós nem lembrássemos de você.""","""I agree. Especially since we were so young; we've grown a lot in these six years. Actually, if we hadn't been introduced, maybe we wouldn't have been able to remember you.""",「是呢。特別是對年輕的我們來說，這應該是有巨大成長的六年啊。搞不好，如果沒有自我介紹的話，還真想不起來呢。」,「是呢。特别是对年轻的我们来说，这应该是有巨大成长的六年啊。搞不好，如果没有自我介绍的话，还真想不起来呢。」,"""I agree. Especially since we were so young; we've grown a lot in these six years. Actually, if we hadn't been introduced, maybe we wouldn't have been able to remember you.""","""Hai ragione. Siccome eravamo molto giovani, siamo cresciuti molto in questi sei anni. Mi sono sorpreso. Se non avessi sentito il tuo nome, non mi sarei neanche ricordato di te.""","""I agree. Especially since we were so young; we've grown a lot in these six years. Actually, if we hadn't been introduced, maybe we wouldn't have been able to remember you.""","""Katılıyorum. Özellikle de çok genç olduğumuz için; bu altı yıl içinde çok büyüdük. Aslında, eğer bize söylememiş olsalardı, belki de seni tanıyamayacaktık."""
Ushiromiya Jessica,"""Really? I figured he was Battler right away. And when he opened his mouth, I was sure."" ","""You think? I knew it was Battler right away. After he opened his mouth, I was even more sure.""","""Really? I knew it was Battler right away. After he opened his mouth, I was sure.""",「そうかな。私は戦人だって、すぐにわかったぜ？　口を聞いて、さらに確信できたぜ。」,「そうかな。私は戦人だって、すぐにわかったぜ？　口をきいて、さらに確信できたぜ」,"""Да ну? А я вот сразу узнала Баттлера. Стоило ему только открыть рот, и я тут же всё поняла.""","""Você acha? Eu soube que era o Battler no mesmo momento. Depois que ele abriu a boca, eu tive ainda mais certeza.""","""You think? I knew it was Battler right away. After he opened his mouth, I was even more sure.""",「是嘛。我可是馬上就知道了那是戰人的哦？一開口就更是確信了嘞。」,「是嘛。我可是马上就知道了那是战人的哦？一开口就更是确信了嘞。」,"""You think? I knew it was Battler right away. After he opened his mouth, I was even more sure.""","""Davvero? Io ho capito subito che era Battler. Ne ero sicura, dopo che ha aperto la bocca.""","""You think? I knew it was Battler right away. After he opened his mouth, I was even more sure.""","""Öyle mi dersin? Ben onun Battler olduğunu gördüğüm gibi anladım. Ağzını açmasıyla daha da emin oldum."""
Ushiromiya Maria,"""Uu-. I just met him for the first time. Didn't know him six years ago."" ","""Uu. I met him for the first time. Don't know about six years ago.""","""Uu-. Maria met him for the first time. Six years ago, didn't know him.""",「うー。真里亞、初めて会った。６年前、わかんない。」,「うー。真里亞、初めて会った。６年前、わかんない」,"""У‐у. Мария видит его впервые. Шесть лет назад я не знала его.""","""Uu. É a primeira vez que a Maria encontra ele. Não sei nada sobre seis anos atrás.""","""Uu. I met him for the first time. Don't know about six years ago.""",「嗚——。真里亞，第一次見。六年前，不知道。」,「呜——。真里亚，第一次见。六年前，不知道。」,"""Uu. I met him for the first time. Don't know about six years ago.""","""Uu-. Maria l'ha incontrato per la prima volta. Sei anni fa, non lo conosceva.""","""Uu. I met him for the first time. Don't know about six years ago.""","""Uu. Maria onunla ilk kez bir araya geldi. Altı yıl öncesini bilmiyorum."""
Shannon,"""That's right. Maria-sama was only three years old then."" ","""That's natural. You were only three, after all.""","""That's right. Maria-sama was only three years old.""",「そうですよね。真里亞さまはまだ３つでしたものね。」,「そうですよね。真里亞さまはまだ３つでしたものね」,"""И правда. Марии‐сама тогда было всего три годика.""","""Isso é natural. Afinal, você tinha apenas três anos.""","""That's natural. You were only three, after all.""",「也是。畢竟真里亞小姐，那時才三歲呢。」,「也是。毕竟真里亚小姐，那时才三岁呢。」,"""That's natural. You were only three, after all.""","""È così. Maria-sama aveva solamente tre anni.""","""That's natural. You were only three, after all.""","""Bu normal. Maria-sama o zamanlar sadece üç yaşındaydı."""
Ushiromiya Battler,"""Well, the same goes for me. I only knew Maria when she was three years old, and since she's grown so big, of course I wouldn't recognize her."" ","""When you say it like that, I'm the same. I only knew Maria when she was three years old, and since she's grown so big, yeah, no wonder I didn't recognize her.""","""When you say it like that, I'm the same. I only knew Maria when she was three years old, and since she's grown so big, I didn't recognize her.""",「それを言われたら俺もだぜ。３歳の頃しか知らない真里亞が、こんなに大きく成長してるんだから、そりゃあわからねぇわけだぜ。」,「それを言われたら俺もだぜ。３歳の頃しか知らない真里亞が、こんなに大きく成長してるんだから、そりゃあわからねぇわけだぜ」,"""Раз уж речь зашла об этом, со мной то же самое. Я знал Марию, когда ей было три года, и с тех пор она так подросла, что я не узнал её.""","""Quando você diz dessa forma, eu me sinto igual. Eu só conheci a Maria quando ela tinha três anos e, como ela cresceu, talvez eu não a reconhecesse.""","""When you say it like that, I'm the same. I only knew Maria when she was three years old, and since she's grown so big, yeah, no wonder I didn't recognize her.""",「說起這個，我也一樣。我印象中三歲的真里亞，居然長得這麼大了，這倒確實是會認不出來啊。」,「说起这个，我也一样。我印象中三岁的真里亚，居然长得这么大了，这倒确实是会认不出来啊。」,"""When you say it like that, I'm the same. I only knew Maria when she was three years old, and since she's grown so big, yeah, no wonder I didn't recognize her.""","""Se dici così, allora sono come te. Mi ricordavo Maria quando aveva solo tre anni, e poiché è cresciuta così tanto, non l'ho riconosciuta.""","""When you say it like that, I'm the same. I only knew Maria when she was three years old, and since she's grown so big, yeah, no wonder I didn't recognize her.""","""Sen böyle söyleyince, ben de aynıydım. Maria'yı en son o üç yaşındayken görmüştüm ve bu kadar büyüdüğü için, evet, onu tanıyamadığıma şaşmamalı."""
,"After lunch, we had all gone out to the beach to walk around, talk, and take it easy. ","After lunch, we had all gone out to the beach to walk around, talk and take it easy enjoying ourselves.","After lunch, we had all gone out to the beach to walk around, talk and take it easy enjoying ourselves.",俺たちは昼食の後、浜辺へ出て散歩しながらのんびりお喋りを楽しんでいた。,俺たちは昼食の後、浜辺へ出て散歩しながらのんびりお喋りを楽しんでいた。,"После ланча мы спустились к пляжу, чтобы прогуляться, поболтать и насладиться обществом друг друга.","Depois do almoço, fomos todos caminhar na praia e aproveitamos esse nosso momento juntos.","After lunch, we had all gone out to the beach to walk around, talk and take it easy enjoying ourselves.",我們吃完午飯後就來到了沙灘上，邊散步，邊逍遙自在地享受閑談之樂。,我们吃完午饭后就来到了沙滩上，边散步，边逍遥自在地享受闲谈之乐。,"After lunch, we had all gone out to the beach to walk around, talk and take it easy enjoying ourselves.","Dopo pranzo, eravamo tutti andati alla spiaggia per passeggiare, parlare e prendercela comoda divertendoci.","After lunch, we had all gone out to the beach to walk around, talk and take it easy enjoying ourselves.","Öğle yemeğinden sonra hepimiz dolaşmak, konuşmak ve keyifli vakit geçirmek için sahile geldik."
,"Our parents were apparently having a suspicious, complicated discussion, so we ended up leaving them behind. ","Our parents appeared somehow on edge, and seemed to have things to catch up on, so we had decided to leave our seats."," It had seemed that our parents were having a suspicious, complicated discussion, so we had decided to leave our seats.",親たちがどうにもキナ臭く、積もる話もあったようなので、席を外すことになったのだ。,親たちがどうにもキナ臭く、積もる話もあったようなので、席を外すことになったのだ。,"Похоже, что наши родители опять затеяли подозрительные, сложные дискуссии, потому мы и решили покинуть наши места.","Nossos pais já aparentam estar no limite, e parecem ter o que discutir, por isso decidimos deixar nossos assentos.","Our parents appeared somehow on edge, and seemed to have things to catch up on, so we had decided to leave our seats.",因為長輩們一個個冒著火藥味，像是有什麼頭疼難題似的，所以我們就一起離席了。,因为长辈们一个个冒着火药味，像是有什么头疼难题似的，所以我们就一起离席了。,"Our parents appeared somehow on edge, and seemed to have things to catch up on, so we had decided to leave our seats.","Sembrava che i nostri genitori stessero discutendo in modo sospettoso e complicato, quindi decidemmo di lasciare i nostri posti.","Our parents appeared somehow on edge, and seemed to have things to catch up on, so we had decided to leave our seats.","Ailelerimiz biraz gergin görünüyor ve halletmeleri gereken işleri varmış gibi davranıyorlardı, bu yüzden bizler de yanlarından uzaklaşmaya karar verdik."
,"...Well, just as I'd guessed from the start, the conversation focused on me, since I'd been away for six years. ","...Just as you'd expect, since it had been six years, the conversation focused on me.","...Just as you'd expect, since it had been six years, the conversation focused on me.",…まぁ、当初からの予想通り、６年ぶりとなる俺に話題は集中した。,…まぁ、当初からの予想通り、６年ぶりとなる俺に話題は集中した。,"...Как и ожидалось, спустя долгие шесть лет, беседа сосредоточилась на мне.","...Como seria de esperar, já que se passaram seis anos, a conversa se focou em mim.","...Just as you'd expect, since it had been six years, the conversation focused on me.",…不過，就跟事先預想的一樣，話題全集中在了六年沒來的我身上。,…不过，就跟事先预想的一样，话题全集中在了六年没来的我身上。,"...Just as you'd expect, since it had been six years, the conversation focused on me.","... Come mi aspettavo, poiché sono mancato per sei anni, la conversazione si concentrò su di me.","...Just as you'd expect, since it had been six years, the conversation focused on me.","...Tam da tahmin edebileceğiniz gibi, aradan altı yıl geçtiği için, sohbet benim üzerimde yoğunlaştı."
Ushiromiya George,"""Still, you've really gotten tall. I wouldn't call myself short, but your height really surprised me."" ","""Still, you've really gotten taller. I won't call myself short, but anyway, your height surprised me.""","""Still, you've really gotten taller. I won't call myself short, but anyway, your height surprised me.""",「しかし、本当に背が伸びたね。僕も低いつもりはないけど、とにかくその身長には驚いたよ。」,「しかし、本当に背が伸びたね。僕も低いつもりはないけど、とにかくその身長には驚いたよ」,"""Однако ты здорово вымахал. Я не назову себя коротышкой, но всё‐таки твой рост удивил меня.""","""Mesmo assim, você realmente ficou mais alto. Eu não me acho baixo, mas de qualquer forma, a sua estatura me surpreendeu.""","""Still, you've really gotten taller. I won't call myself short, but anyway, your height surprised me.""",「不過說起來，真是長得好高了啊。我也不覺得我算矮，但總之這身高真是驚到我了。」,「不过说起来，真是长得好高了啊。我也不觉得我算矮，但总之这身高真是惊到我了。」,"""Still, you've really gotten taller. I won't call myself short, but anyway, your height surprised me.""","""Comunque, sei diventato molto più alto. Non che io sia basso, ma ad ogni modo, la tua altezza mi ha stupito.""","""Still, you've really gotten taller. I won't call myself short, but anyway, your height surprised me.""","""Yine de, gerçekten uzamışsın. Kendime kısa diyemem ama yine de boyun beni şaşırttı."""
