Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Ushiromiya Jessica,"""......A test...?"" ",""".........A test......?""","""......A test...?"" ",「………テストって……？」,「………テストって……？」,"""..............Испытание?""",""".........Um teste......?""",""".........A test......?""",「………考試……？」,「………考试……？」,""".........A test......?""","""... Un test...?""",""".........A test......?""",""".........A test......?"""
Ushiromiya Krauss,"""...Y-Yes. Listen well..."" ","""......M‐mm. Listen well...""","""...Y-Yes. Listen well..."" ",「……う、うむ。よく聞きなさい……。」,「……う、うむ。よく聞きなさい……」,"""......Д‐да. Слушайте внимательно.""","""......M‐Mmm. Ouçam bem...""","""......M‐mm. Listen well...""",「……嗯、嗯。仔細聽好了……」,「……嗯、嗯。仔细听好了……」,"""......M‐mm. Listen well...""","""... S-Sì. Ascolta bene...""","""......M‐mm. Listen well...""","""......M‐mm. Listen well..."""
,"Once again, there was a call from Krauss to the guesthouse. ","Once again, there was a call from Krauss to the guesthouse.","Once again, there was a call from Krauss to the guesthouse. ",  再びゲストハウスに蔵臼たちから電話が掛かってきた。,再びゲストハウスに蔵臼たちから電話が掛かってきた。,Краусс вновь позвонил в домик для гостей.,"Mais uma vez, houve outra ligação de Krauss para a casa de hóspedes.","Once again, there was a call from Krauss to the guesthouse.",待在賓館的眾人再次接到了藏臼等人打來的電話。,待在宾馆的众人再次接到了藏臼等人打来的电话。,"Once again, there was a call from Krauss to the guesthouse.","Ancora una volta, ci fu una chiamata di Krauss alla casa degli ospiti.","Once again, there was a call from Krauss to the guesthouse.","Once again, there was a call from Krauss to the guesthouse."
,...And the message was...that Kinzo wanted to hold a test to see if the grandchildren had the qualifications to become his successor. ,......And the message was......that Kinzo wanted to hold a test to see if the grandchildren had the qualifications to be the next head.,...And the message was...that Kinzo wanted to hold a test to see if the grandchildren had the qualifications to become his successor. ,  ……そして告げられたのは、……金蔵が孫たちに、次期当主の資格を問うテストを行ないたい、とするものだった。,……そして告げられたのは、……金蔵が孫たちに、次期当主の資格を問うテストを行ないたい、とするものだった。,"......И рассказал, что Кинзо хотел испытать своих внуков на право получения звания следующего главы семьи.",......E a mensagem era......de que Kinzo queria fazer um teste para ver se os netos eram qualificados para serem o novo chefe.,......And the message was......that Kinzo wanted to hold a test to see if the grandchildren had the qualifications to be the next head.,……而他們被告知的是，……金藏想對孫兒們來一場，測試下任當主資格的考試。,……而他们被告知的是，……金藏想对孙儿们来一场，测试下任当主资格的考试。,......And the message was......that Kinzo wanted to hold a test to see if the grandchildren had the qualifications to be the next head.,... E il messaggio era... che Kinzo voleva tenere un test per vedere se i nipoti avessero le qualifiche per essere il prossimo capofamiglia.,......And the message was......that Kinzo wanted to hold a test to see if the grandchildren had the qualifications to be the next head.,......And the message was......that Kinzo wanted to hold a test to see if the grandchildren had the qualifications to be the next head.
Ushiromiya Krauss,"""......The Head has said that his successor will not be one of us siblings... That he wants...to pick from among his grandchildren..."" ",""".........The head has said that his successor will not be one of us siblings, that he wants to......pick from you grandchildren...""","""......The Head has said that his successor will not be one of us siblings... That he wants...to pick from among his grandchildren..."" ",「………当主様は次期当主を、お父さんたちの兄弟からではなく、孫たちの中から選びたいと、そう、……仰っている…。」,「………当主様は次期当主を、お父さんたちの兄弟からではなく、孫たちの中から選びたいと、そう、……仰っている…」,""".........Глава сказал, что его наследником не станет кто‐то из его детей... Он решил... выбирать из внуков...""",""".........O chefe da família disse que seu sucessor não seria nenhum de nós, irmãos, por isso ele quer......escolher um dos netos...""",""".........The head has said that his successor will not be one of us siblings, that he wants to......pick from you grandchildren...""",「………當主大人說了，下任當主，不在爸爸几兄妹中選，而是，要在孫兒中，……選出…」,「………当主大人说了，下任当主，不在爸爸几兄妹中选，而是，要在孙儿中，……选出…」,""".........The head has said that his successor will not be one of us siblings, that he wants to......pick from you grandchildren...""","""... Il capofamiglia ha detto che il prossimo non sarà uno dei miei fratelli... che lui vuole... scegliere fra i nipoti...""",""".........The head has said that his successor will not be one of us siblings, that he wants to......pick from you grandchildren...""",""".........The head has said that his successor will not be one of us siblings, that he wants to......pick from you grandchildren..."""
,"From Krauss's restrained style of speech, Jessica realized as his daughter that he was being forced to speak. ","From Krauss's restrained style of speech, Jessica realized as his daughter that he was being forced to speak.","From Krauss's restrained style of speech, Jessica realized as his daughter that he was being forced to speak. ",  蔵臼の抑圧されたしゃべり方から、娘である朱志香は、そう話すよう強要されていることを理解する。,蔵臼の抑圧されたしゃべり方から、娘である朱志香は、そう話すよう強要されていることを理解する。,"Судя по сдержанному голосу Краусса, Джессика, как его дочь, поняла, что он был вынужден это говорить.","Pela forma contida de falar de Krauss, Jessica, sendo sua filha, percebeu que ele estava sendo forçado a falar.","From Krauss's restrained style of speech, Jessica realized as his daughter that he was being forced to speak.",藏臼那不順暢的語調，令身為其女的朱志香明白了，他是在被人強迫著這麼說。,藏臼那不顺畅的语调，令身为其女的朱志香明白了，他是在被人强迫着这么说。,"From Krauss's restrained style of speech, Jessica realized as his daughter that he was being forced to speak.","Dal modo di parlare trattenuto di Krauss, Jessica da figlia qual era capì che era stato obbligato a parlare.","From Krauss's restrained style of speech, Jessica realized as his daughter that he was being forced to speak.","From Krauss's restrained style of speech, Jessica realized as his daughter that he was being forced to speak."
,"And she was forced to realize that the hostages were being exposed to danger even now, and that if they refused this test, there was a possibility that the hostages would be harmed. ","And she was forced into the realization that the hostages were being exposed to danger even now, and that if they refused this test, there was a possibility that the hostages would be harmed.","And she was forced to realize that the hostages were being exposed to danger even now, and that if they refused this test, there was a possibility that the hostages would be harmed. ",そして、父親たち人質は今も危険に晒されていて、テストとやらを断れば、人質に危害が加えられる可能性があることまでも理解せざるを得なかった。,そして、父親たち人質は今も危険に晒されていて、テストとやらを断れば、人質に危害が加えられる可能性があることまでも理解せざるを得なかった。,"И ей пришлось осознать, что заложники даже теперь находились в опасности, так что в случае отказа им вполне могли причинить вред.","E isso a fez perceber que os reféns estavam sendo expostos a algum tipo perigo, e que se eles recusassem o teste, havia a possibilidade de que os reféns fossem feridos.","And she was forced into the realization that the hostages were being exposed to danger even now, and that if they refused this test, there was a possibility that the hostages would be harmed.",並且，關於父親等人質此時此刻正處於危險之中，若是拒絕參加考試，敵方就有可能加害人質的這一點，也是不得不心知肚明。,并且，关于父亲等人质此时此刻正处于危险之中，若是拒绝参加考试，敌方就有可能加害人质的这一点，也是不得不心知肚明。,"And she was forced into the realization that the hostages were being exposed to danger even now, and that if they refused this test, there was a possibility that the hostages would be harmed.","E fu obbligata a capire che gli ostaggi erano esposti al pericolo anche ora, e che se loro avessero rifiutato questo test, c'era la possibilità che agli ostaggi venisse fatto del male.","And she was forced into the realization that the hostages were being exposed to danger even now, and that if they refused this test, there was a possibility that the hostages would be harmed.","And she was forced into the realization that the hostages were being exposed to danger even now, and that if they refused this test, there was a possibility that the hostages would be harmed."
Ushiromiya Jessica,"""Th-Then, ......what should we do?"" ","""S‐......so......what should we do?""","""Th-Then, ......what should we do?"" ",「そ、……それで……。私たちは、どうすればいいの。」,「そ、……それで……。私たちは、どうすればいいの」,"""Т‐тогда... что же нам делать?""","""E‐......Então......o que devemos fazer?""","""S‐......so......what should we do?""",「那、……那麼……。我們，該怎麼做呢？」,「那、……那么……。我们，该怎么做呢？」,"""S‐......so......what should we do?""","""A... Allora... cosa dovremmo fare?""","""S‐......so......what should we do?""","""S‐......so......what should we do?"""
Ushiromiya Krauss,"""...I-Indeed. Hold on..."" ","""......M‐...mm. Hold on...""","""...I-Indeed. Hold on..."" ",「……う、…うむ。待て…。」,「……う、…うむ。待て…」,"""......Хм‐м‐м. Секунду...""","""......M‐...mm. Espere...""","""......M‐...mm. Hold on...""",「……嗯、…嗯。等下…」,「……嗯、…嗯。等下…」,"""......M‐...mm. Hold on...""","""... Hm... hmm. Aspetta...""","""......M‐...mm. Hold on...""","""......M‐...mm. Hold on..."""
,"Krauss put down the receiver, then looked at the grinning Kinzo on the other side of the bars. ","Krauss held the receiver away from his ear, then looked at the grinning Kinzo on the other side of the bars.","Krauss put down the receiver, then looked at the grinning Kinzo on the other side of the bars. ",  蔵臼は受話器を離し、鉄格子の向こうでにやにやと見ている金蔵を見る。,蔵臼は受話器を離し、鉄格子の向こうでにやにやと見ている金蔵を見る。,"Положив трубку, Краусс взглянул на ухмылявшегося Кинзо, стоящего по другую сторону решетки.","Krauss afastou o receptor do telefone de seu ouvido, então olhou para Kinzo, que estava do outro lado daquela grade, sorrindo ironicamente.","Krauss held the receiver away from his ear, then looked at the grinning Kinzo on the other side of the bars.",藏臼拿開話筒，朝在鐵窗另一邊笑嘻嘻地看著的金藏望去。,藏臼拿开话筒，朝在铁窗另一边笑嘻嘻地看着的金藏望去。,"Krauss held the receiver away from his ear, then looked at the grinning Kinzo on the other side of the bars.","Krauss abbassò il ricevitore, poi guardò il Kinzo ghignante dall'altra parte delle sbarre.","Krauss held the receiver away from his ear, then looked at the grinning Kinzo on the other side of the bars.","Krauss held the receiver away from his ear, then looked at the grinning Kinzo on the other side of the bars."
