Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,The boat gave a big shudder. ,The boat gave a big shudder.,The boat gave a big shudder.,船が大きくガクンと揺れる。,船が大きくガクンと揺れる。,Катер хорошенько встряхнуло.,O barco balançou bruscamente.,Con thuyền rung lên dữ dội.,船身發出了一陣劇烈的震顫。,船身发出了一阵剧烈的震颤。,"""Kapal bergoncang keras.""",La barca fece un gran rumore.,All'improvviso il battello ebbe un gran scossone.,Tekne büyük bir sarsıntı geçirdi.
,Seems we've docked at the harbor. The boat driver came out and jumped to the pier with the mooring rope. ,Seems we've docked at the harbor.{n}The boat driver came out and jumped to the pier with the mooring rope., Seems we've docked at the harbor. The boat driver came out and jumped to the pier with the mooring rope.,船着場に接岸したようだった。船の人が出てきて、舫い綱を持ちながら埠頭に飛び移る。,船着場に接岸したようだった。{n}船の人が出てきて、舫い綱を持ちながら埠頭に飛び移る。,"Похоже, мы причалили в гавань.{n}Рулевой катера вышел и спрыгнул на пристань со швартовым в руках.",Parece que chegamos na ilha.{n}O piloto do barco apareceu e pulou para o atracadouro com uma corda de amarração.,Có vẻ như chúng tôi đã cập bến rồi.{n}Người lái thuyền bước ra và nhảy lên bến với sợi dây buộc thuyền.,似乎已經靠岸了。{n}船員走出了船艙，手裡抓著纜繩跳上了碼頭。,似乎已经靠岸了。{n}船员走出了船舱，手里抓着缆绳跳上了码头。,"""Sepertinya kita sudah merapat di pelabuhan.""{n}Nahkoda kapal keluar dan melompat ke dermaga dengan tali tambat.",Sembra che stiamo ormeggiando. Il personale della barca venne fuori e saltò sul molo mentre teneva la corda per l'ormeggio...,"Sembrava che stessimo per attraccare. Un addetto del battello uscì fuori e saltò sul molo, mentre teneva la corda per l'ormeggio con sé.",Görünüşe göre limana yanaştık.{n}Teknenin sürücüsü dışarı çıktı ve bağlama halatıyla iskeleye atladı.
,A large man in a tuxedo was waiting there for us with a warm smile. ,"A large man in a tuxedo was waiting there for us with a warm, smiling face."," A large man in a tuxedo was waiting there for us with a warm, smiling face.",そこにはタキシード姿の大柄な男がいて、俺たちをにこやかな笑顔で迎えていた。,そこにはタキシード姿の大柄な男がいて、俺たちをにこやかな笑顔で迎えていた。,"Нас ожидал крупный мужчина в смокинге с тёплым, улыбающимся выражением лица.",Um homem grande vestindo um smoking estava esperando por nós com um caloroso sorriso no rosto.,Một người đàn ông to lớn mặc tuxedo đang đợi chúng tôi với một khuôn mặt ấm áp và nở nụ cười thân thiện.,一位身著晚禮服，體型魁梧的男人站在碼頭上，面帶熱切的笑容迎接著我們。,一位身着晚礼服，体型魁梧的男人站在码头上，面带热切的笑容迎接着我们。,Seorang pria besar berbaju tuksedo menunggu kami di sana dengan wajah ramah tersenyum.,C'era un omone in smoking che ci salutava con un viso ridente.,"Ad accoglierci vi era un uomo in smoking dalla grossa corporatura, che sfoggiava un sorriso cordiale...","Smokinli, iri yarı bir adam sıcak ve güler yüzüyle bizi bekliyordu."
,"......I didn't recognize his face, but judging by his clothes, I guessed he was a servant of the Ushiromiya Head Household. ","......I didn't know him, but judging by his clothes, I guessed that he was a servant of the Ushiromiya head house.","......I didn't know his face, but judging by his clothes, I guessed that he was a servant of the Ushiromiya family head house.",……面識はないが、服装から右代宮本家の使用人だろうと察する。,……面識はないが、服装から右代宮本家の使用人だろうと察する。,"......Его лицо было мне незнакомо, но, судя по его одежде, я предположил, что он является слугой из головного дома семьи Уширомия.","......Eu não sei quem ele é, mas, julgando pelas suas roupas, acho que é um dos serviçais que servem ao chefe da família Ushiromiya.","......Tôi không quen ông ta, nhưng dựa vào quần áo, tôi đoán ông ấy là gia nhân của nhà chính Ushiromiya.",……雖然我從沒見過他，但是從衣著來看，他應該是右代宮本家的傭人。,……虽然我从没见过他，但是从衣着来看，他应该是右代宫本家的佣人。,"......Aku tidak mengenalnya, tapi dari pakaiannya, kutebak dia adalah pelayan rumah utama keluarga Ushiromiya.","... Non riconoscevo la sua faccia, ma a giudicare dai suoi vestiti, immaginavo fosse uno dei domestici della famiglia Ushiromiya.","Non lo riconoscevo, ma dai suoi vestiti avevo presunto che fosse uno dei domestici della famiglia Ushiromiya.",......Onu tanımıyordum ama kıyafetlerine bakarak Ushiromiya baş ailesinin hizmetkârlarından biri olduğunu tahmin ettim.
Gohda Toshiro,"""Welcome home, Milady. You were so late in returning that I began to worry."" ","""Welcome home, Milady. You were quite late, and I began to worry.""","""Welcome home, Milady. You were quite late, and I began to worry.""", 「お嬢様、お帰りなさいませ。だいぶ遅かったので心配いたしておりました。」,「お嬢様、お帰りなさいませ。だいぶ遅かったので心配しておりました」,"""Добро пожаловать домой, миледи. Вы припозднились, и я уже начал беспокоиться.""","""Bem‐vinda de volta, ojou‐sama. Você estava demorando, então eu comecei a ficar preocupado.""","""Chào mừng tiểu thư trở về nhà. Cô về trễ quá, làm tôi lo lắng rồi đó.""",「小姐，歡迎回來。比預定的時間晚了不少，鄙人甚是擔心。」,「小姐，欢迎回来。比预定的时间晚了不少，鄙人甚是担心。」,"""Selamat datang pulang, Nyonya. Kalian cukup terlambat, aku mulai khawatir.""","""Bentornata a casa, Milady. Eravate in ritardo, cominciavo a preoccuparmi.""","""Bentornata a casa, signorina. Ero in pensiero per lei, visto il vostro notevole ritardo.""","""Leydim, evinize hoş geldiniz. Oldukça geç kaldınız, endişelenmeye başlamıştım."""
Ushiromiya Jessica,"""Ah, thanks for caring! This moron got so scared, we had to slow down. It was seriously annoying!"" ","""Ah, thanks for caring! The boat had Battler scared shitless. So we had to slow down for him. Seriously, what a pain in the ass!""","""Ah, thanks for caring! This moron got so scared that we had to slow down. It was seriously annoying!""", 「うん、心配ありがと！　ウドの大木が怖がっちゃってよー。それで徐行運転だったってわけ。マジでうぜーぜ！」,「うん、心配ありがと！　戦人のヤツが怖がっちゃってよー。それで徐行運転だったってわけ。マジでうぜーぜ！」,"""Ах, спасибо за заботу! Этот придурок так испугался, что пришлось сбавить скорость. Это здорово раздражало!""","""Ah, obrigada por se preocupar! Esse idiota ficou superassustado com o barco. Então tivemos que diminuir a velocidade para ele. Sério, isso foi um saco!""","""Ưm, cảm ơn vì đã lo cho tôi nhé! Chiếc thuyền làm Battler sợ vãi cả linh hồn ra. Cho nên tụi tôi phải đi chậm lại vì em ấy đó. Thật là phiền phức chết đi được!""",「嗯，讓你擔心真是不好意思！都是因為戰人那傢伙怕得不行。結果就變成這樣小心慢行嘞。真是煩死嘞！」,「嗯，让你担心真是不好意思！都是因为战人那家伙怕得不行。结果就变成这样小心慢行嘞。真是烦死嘞！」,"""Ah, terima kasih sudah peduli! Battler ketakutan setengah mati di kapal. Jadi kami harus memperlambat untuknya. Sungguh menyebalkan!""","""Ah, grazie del pensiero! Questo idiota qui era tutto impaurito e abbiamo avuto un rallentamento. È stato davvero seccante!""","""Ah, grazie per il pensiero! Questo scemone quaggiù ha avuto un attacco di fifa,{n}quindi abbiamo dovuto rallentare. Seriamente, che rottura!""","""İlgilendiğin için teşekkürler! Tekne Battler'ı çok korkuttu. Onun için yavaşlamak zorunda kaldık. Cidden, ne baş belası ama!"""
Ushiromiya Battler,"""Sh-Shut up... Someday, when the shoe's on the other foot, you'll remember this...ugghh."" ","""S‐shut up... I'll remember this when the shoe's on the other foot someday... ugghh.""","""S, shut up...someday, when the shoe's on the other foot, you'll remember this, ...ugghh.""",「う、うるせー…、いつか逆の立場になったら覚えてろー、…ぅぅ。」,「う、うるせー…、いつか逆の立場になったら覚えてろー、…ぅぅ」,"""З‐замолчи... Я тебе это припомню, в день, когда ты ощутишь подобное на своей шкуре. Пфф.""","""C‐Cale a boca... Eu vou me lembrar disso quando estivermos em outras posições... ugghh.""","""I‐im đi... Em sẽ nhớ chuyện này nếu lần sau chị gặp chuyện gì đó tương tự đấy... ugghh.""",「少、少煩——…！要是有一天我和你的立場顛倒過來了有你好看的，…呃呃。」,「少、少烦——…！要是有一天我和你的立场颠倒过来了有你好看的，…呃呃。」,"""D-diamlah... Aku akan ingat ini saat giliranku nanti... ughh.""","""S-Sta' zitta... un giorno, quando capirai come mi sento te lo ricorderai... pff.""","""S-Sta' zitta... quando sarai in una situazione simile me lo ricorderò... pff.""","""K-Kapa çeneni... Bir gün işler tersine döndüğünde bunu hatırlayacağım... ugghh."""
,"At this rate, word'll spread to the whole family, and I'll be the big conversation piece during dinner. ","At this rate, the word'll spread around the entire family, and I'll become the big conversation piece during dinner.","At this rate, the word'll spread around the entire family and I'll become the big conversation piece during dinner.",この調子じゃ、親族中に言いふらされて、今日の晩餐は俺の話題で持ちきりだな。,この調子じゃ、親族中に言いふらされて、今日の晩餐は俺の話題で持ちきりだな。,"Такими темпами об этом скоро прознает вся семья, и я стану главной темой для разговора за сегодняшним обедом.","Nesse ritmo, isso vai se espalhar por toda a família e esse vai ser o assunto principal durante o jantar.","Với cái đà này, cả gia đình sẽ đồn ầm lên mất. Tôi sẽ trở thành chủ đề nóng hổi để mọi người bàn khi ăn tối cho mà xem.",如果再這樣下去，親戚們你一句我一句的，今天的晚餐時間就會始終談論我這話題了。,如果再这样下去，亲戚们你一句我一句的，今天的晚餐时间就会始终谈论我这话题了。,"Dengan begini, kabar akan menyebar ke seluruh keluarga, dan aku akan jadi bahan obrolan saat makan malam.","A questo ritmo, si sarebbe saputo tra tutta la famiglia e sarei diventato l'argomento principale della cena di stasera.","Di questo passo la voce si sarebbe sparsa tra tutti i parenti, e sarei diventato l'argomento principale della cena di stasera.","Böyle giderse, haber tüm aileye yayılacak ve akşam yemeğinde en çok konuşulan kişi ben olacağım."
,"Even without this, everyone'd be talking about me because of that six year gap, ...but now I've given them an even juicier topic...! ","Even without this, everyone'd be talking about me because of that six‐year gap...but now I've provided them with an even juicier topic...!"," Even without this, everyone'd be talking about me because of that six year gap...but now I've given them an even juicier topic...! ",ただでさえ６年ぶりってことで話題にされやすいってのに、さらに美味しい話題まで提供しちまうとは…！,ただでさえ６年ぶりってことで話題にされやすいってのに、さらに美味しい話題まで提供しちまうとは…！,"Даже без этого я был бы у них на устах ввиду своего шестилетнего отсутствия, но теперь им предоставилась ещё более сочная тема!","Apesar que mesmo sem isso, todos vão estar falando a respeito de mim por causa dos meus seis anos sem aparecer... mas agora eu acabei dando a eles um assunto ainda melhor...!","Chỉ riêng việc vắng mặt sáu năm đã đủ khiến họ xì xào rồi... mà nay tôi còn tự vẽ ra thêm cái chuyện ""hấp dẫn"" như vậy nữa...!",本來就因為是相隔六年而容易變成他們的談資，現在又變本加厲地提供了這麼令人愉快的話題，真是失策…！,本来就因为是相隔六年而容易变成他们的谈资，现在又变本加厉地提供了这么令人愉快的话题，真是失策…！,"Bahkan tanpa ini, semua orang pasti sudah membicarakanku karena jarak enam tahun itu...tapi sekarang aku malah memberi mereka topik yang lebih menarik...!","E se non fosse così, sarebbe facile per me essere sulle labbra di tutti dato che sono passati sei anni, ma ora gli ho concesso un argomento anche più succoso...!","Già il solo fatto che non venivo da sei anni mi rendeva facilmente oggetto di discussione, ma ora gli avevo dato una questione ancor più succosa...!","Bu olmasa bile, altı yıllık yokluğum nedeniyle herkes benden bahsedecekti...ama şimdi onlara daha da sulu bir konu verdim...!"
,"Dammit, why does the Ushiromiya Head Family have to live on this isolated island?! ","Dammit, why does the Ushiromiya main family have to live on this isolated island!","Dammit, why does the Ushiromiya head house have to live on this isolated island! ",畜生、何で右代宮本家は離島なんかに住んでんだー！,畜生、何で右代宮本家は離島なんかに住んでんだー！,"Вот блин, ну почему глава семейства Уширомия живёт на этом оторванном от окружающего мира острове!","Merda, por que a família principal tem que viver nessa ilha isolada!","Chết tiệt, tại sao nhánh chính của gia tộc Ushiromiya lại phải sống trên cái hòn đảo hẻo lánh này chứ!",可惡，右代宮本家幹嘛住孤島啊——！,可恶，右代宫本家干嘛住孤岛啊——！,"Sialan, kenapa keluarga utama Ushiromiya harus tinggal di pulau terpencil ini!","Dannazione, perché il capofamiglia deve vivere su quest'isola solitaria!","Dannazione, perché mai la famiglia Ushiromiya doveva vivere su quest'isola remota?!","Kahretsin, Ushiromiya baş ailesi neden bu ıssız adada yaşamak zorunda!"
